Entity_number,Description,Parent,Parent_Description,Category,Class,Suspended,Site,Extracted_Code,Matched_Code,Valid_Class
21381,TAB Process Control Projects,                    52349,TAB Power Distribution,,,,TAB,,,
36233,"TAB Power Failure August 14, 2003",                    52349,TAB Power Distribution,,,,TAB,,,
8831,"All Buildings, Wet Wells WA8",TAB-WA8,Common to WA8  Bldg. Services,Tank,Tank,,TAB,,,
17800,TAB Power Distribution Projects,                    52349,TAB Power Distribution,,,,TAB,,,
32752,TAB Process Computers,                    52349,TAB Power Distribution,,,,TAB,,,
THR-ACC-T-1802,"Tank, THR-ACC-HE-1846,  Glycol Feed System, ADMIN BLDG Basement",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building",Tank,Tank,,THR,T,T,
THR-ACC-T-1802,"Tank, THR-ACC-HE-1846,  Glycol Feed System, ADMIN BLDG Basement",THR-ACC-HE-1846,"Heat Exchanger, THR-ACC-T-1808, Heating Water System",Tank,Tank,,THR,T,T,
THR-ACC-T-1806,"Tank, Air Separator, ADMIN BLDG Basement",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building",Tank,Tank,,THR,T,T,
THR-ACC-T-1807,"Tank, Domestic Hot Water, ADMIN BLDG Basement",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building","Tank,Domestic Hot Water",Tank,,THR,T,T,
WTR-PRV-T-0004,"Tank, Hot Water, Domestic Hot Water, Generator Building Richview PS",WTR-PRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-PRV-T-0005,"Tank, Water Expansion, Hot Water Expansion, Pump Room, Richview PS",WTR-PRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-PRV-T-0008,"Tank, Water Expansion, Hot Water Expansion, Generator Room, Richview PS",WTR-PRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-RRV-T-0002,"Tank, Hot Water, Domestic Hot Water, Valve House, Basement",WTR-RRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-RRV-T-0003,"Tank, Hot Water, Domestic Hot Water, Valve House",WTR-RRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-RRV-T-0007,"Tank, Expansion, Hot Water Expansion, Valve House",WTR-RRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
TAB-CAP-PRJ-0025,P-Building Upgrades-Primary Tank 12,TAB-PLT,Preliminary Treatment,,,,TAB,PRJ,,
THR-ACC-T-1801,"Tank, Water Expansion Tank, ADMIN BLDG Basement",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building",Tank,Tank,,THR,T,T,
THR-ACC-T-1803,"Tank, Glycol Expansion Tank, ADMIN BLDG Basement",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building",Tank,Tank,,THR,T,T,
THR-ACC-T-1804,"Tank, Oil Interceptor, ADMIN BLDG 1st Fl",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building",Interceptor,Tank,,THR,T,T,
THR-ACC-T-1805,"Tank, Air Separator, ADMIN BLDG Basement",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building",Tank,Tank,,THR,T,T,
THR-ACC-T-1808,"Tank, Domestic Hot Water, ADMIN BLDG Basement",THR-ACC-ADM,"Air Conditioning, HVAC, Admin Building","Tank,Domestic Hot Water",Tank,,THR,T,T,
THR-PLT-GRIT,"Gate,Sluice,Preliminary Treatment, Grit Building",THR-PLT,Preliminary Treatment,,,,THR,,,
WTR-PRV-AMT,Atmosphere Monitoring,WTR-PRV,Richview Pumping Station,,,,WTR,,,
WTR-PRV-T-0001,"Tank, Hot Water, Domestic Hot Water, Pump Room, Richview PS",WTR-PRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-PRV-T-0002,"Tank, Hot Water, Domestic Hot Water, Janitor's Closet",WTR-PRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-PRV-T-0003,"Tank, Hot Water, Domestic Hot Water, Generator Room, Richview PS",WTR-PRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-PRV-T-0009,"Tank, Water Expansion, Hot Water Expansion, Pump Room, Richview PS",WTR-PRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-PRV-T-1100,"Tank, Urea, Generator Room, Richview PS",WTR-PRV-AUX,Auxiliary Equipment (Building Facilities),"Tank,Domestic Hot Water",Tank,,WTR,T,T,
WTR-RRV-T-0006,"Tank, Expansion, Hot Water Expansion, Valve House, Basement",WTR-RRV-ACC,"Air Conditioning, Heating and Ventilation","Tank,Domestic Hot Water",Tank,,WTR,T,T,
