,Entity_number,Description,Parent,Parent_Description,Category,Class,Suspended,Site,Extracted_Code,Matched_Code,Valid_Class
10,20663,TAB WA2 Internal telephones & Public address system,TAB-WA2-ADM-0001,Admin. Work- Work Area 2,,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
11,20663,TAB WA2 Internal telephones & Public address system,TAB-WA8,Common to WA8  Bldg. Services,,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
12,20664,TAB WA3 Internal telephones & Public address system,TAB-DEW-SERVICES,Dewatering Building Service & Safety Systems,,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
13,20666,TAB WA5 Internal telephones & Public address system,TAB-ADM-STRC,Old Admin Building - General,,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
14,20667,TAB WA6 Internal telephones & Public address system,                    50588,WA4 common to Work Area,,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
15,20667,TAB WA6 Internal telephones & Public address system,TAB-WA6,"Common to Projects, Bldg. Services,  Z Building",,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
16,20669,TAB WA8 Internal telephones & Public address system,TAB-WA8,Common to WA8  Bldg. Services,,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
20,32017,TAB External Telephone System,                    52349,TAB Power Distribution,,Communications Equipment,,TAB,,,communication or networking equipment (MBC)
21,32029,"Lanyard for Harness,  PPE Stan Chatzinikoloau",THR-SES-SQ-9134,"Lanyard for Harness 6 ft., PPE Stan Chatzinikolau",Safety,Safety Equipment,,THR,,,safety or hazard management equipment (MBC)
23,35115,Lanyard - 6 Ft.-8928-Zt/18INBK,TAB-WA4-SQ-0010,WA4 Fall arrest systems,,Safety Equipment,,TAB,,,safety or hazard management equipment (MBC)
28,50598,"WA1  portable cranes/hoists, come alongs, slings, wire rope, chains, electrical equipment etc.,",TAB-WA1-SQ,Safety Equipment & Supplies Common to WA1,Lifting Device,Safety Equipment,,TAB,,,safety or hazard management equipment (MBC)
29,50610,"Detectors, Gas, Fixed, D Bldg Prelim Treatment",TAB-PLT-SQ-D,"D Building - Safety  Equipment, Atmosphere monitors","Sensor,Gas",Safety Equipment,,TAB,,,safety or hazard management equipment (MBC)
30,50622,"WA7 Fall arrest systems portable cranes/hoists, come alongs, slings, wire rope, chains, etc.,",TAB-SES-SQ,WA7 Safety Equipment,PPE,Safety Equipment,,TAB,,,safety or hazard management equipment (MBC)
31,50629,WA7 Emerg. Eyewash and Shower Stations,TAB-SES-SQ,WA7 Safety Equipment,"PPE,Eyewash Station",Safety Equipment,,TAB,,,safety or hazard management equipment (MBC)
